ID,ra,dec
206383499,357.611064229137,-50.5265782123683
206383527,357.473289491699,-50.662700427908
206383776,357.552560883865,-52.0540491944187
206383804,357.465808157427,-52.1543235431682
206383838,357.58014694206,-52.3330652266407
206383902,357.515037468528,-52.643224261903
65260855,359.372437269895,-27.8409882619964
65260856,359.422097698384,-27.8483101461183
65260948,359.363235845861,-28.4729090538602
65261228,359.565879046068,-29.7895061716692
280803612,359.82450080063,-59.950124787023
290406213,0.218365932149536,-79.7297025146767
290406265,0.239199322913687,-79.8558831569367
290461732,0.210093091945099,-80.7052518774565
290461910,0.277540028922377,-81.1772674200581
469933739,350.923284594392,-53.8607605484315
65261022,359.467628695684,-28.8959826897338
33985342,357.595895677831,-29.8310666277604
248574050,357.324173022786,-3.7060781548272
408001682,359.864859812204,-3.34430736985976
248573639,357.358565611068,-5.81932208030842
248573708,357.311629999023,-5.48191358849841
248573969,357.261924934158,-4.05838944376251
248577213,357.54737481043,0.0486541352776552
248575573,357.39768497215,-3.72494881448139
407996542,359.70331019043,-0.681298558404888
407996620,359.763278888481,-1.0670681521582
407996771,359.731663381687,-1.77379415787696
407996773,359.782512746977,-1.78803738899268
407997311,359.687879494688,-4.33800117708939
407997368,359.680650655187,-4.66578656543215
407997371,359.722737688369,-4.68165047102372
407997446,359.710875057944,-5.14598710420739
408001342,359.905538334854,-5.05747382375144
408001431,359.888944768705,-4.56363525014183
408001474,359.881455859349,-4.37142122705068
218984420,350.413515939535,-33.5079747738668
218984421,350.414669489716,-33.5083727804688
355494530,352.546303583426,-49.2476016904641
254298069,355.317953954452,-26.9558648300275
293507177,351.544571664347,-73.3971824481111
33985240,357.527062422691,-29.179392168158
248575345,357.435408134291,-2.56465802776223
160112316,359.423344673068,-38.3052307696376
254295440,354.653953717838,-29.9325144968093
317087819,346.413079390144,-80.2640133251464
317088249,346.787617466318,-81.6349434213762
317088623,346.791450000562,-82.934812651687
317088759,346.686308966028,-83.3810165625676
317097027,86.5944766408368,-12.0634646850987
325372517,346.187964332509,-72.3775671063367
218984264,350.444989980772,-32.7332424316617
188627264,350.44129386533,-17.0976966145532
188627283,350.440310524147,-17.0211634487601
261592213,350.242292306262,-75.7735458158244
261592530,350.089030978535,-77.0073956669383
355494015,352.616610615204,-51.4451550415098
261593106,350.634462427649,-76.7259476579926
261593226,350.539532388136,-76.273457991752
261593607,350.808381418112,-74.9599216647239
254297961,355.092571551848,-28.3825819754991
316913521,355.721956414902,-56.9216913465264
316913540,355.65377744932,-57.0195616029449
316913723,355.689876465898,-57.9151837897315
293507333,351.405278406209,-73.8321323554472
144313746,355.189264960347,-45.1477306412268
293508236,351.465171866527,-76.773025402153
293508237,351.461203253961,-76.7746032619922
327830797,354.904455834671,-85.1270516353512
327830968,355.064080583968,-85.4966952354748
293508573,352.024482107595,-77.8853635155182
293508818,351.802734292663,-76.8982023770508
254295489,354.573326720367,-29.1947290784514
254295566,354.897974689275,-28.2800563109616
410188326,353.414274173182,-67.7907518067127
410188332,353.398626555328,-67.7813849235183
410188478,353.426111996342,-67.3152294740408
410188666,353.504792747022,-66.6728619683208
410188908,353.835057133803,-65.9396587936116
410189092,353.697651412796,-66.5828928504767
254295722,354.930104053497,-26.4253695312889
254296005,354.924501123294,-27.551635697998
254296087,354.922123826683,-27.3638521689496
254296094,354.637884334577,-29.0403466365684
224276202,355.169276399482,-36.4244387920781
224276208,355.074810338869,-36.3889952573049
33984208,357.435362244252,-24.5018982561682
33984270,357.446866560124,-24.1179623158806
33984612,357.53467741477,-25.5527744603566
33984666,357.527378852636,-25.8336229603674
33985034,357.600375159238,-28.0062904053606
33985050,357.496396978487,-28.1153476354724
33985103,357.497209522335,-28.4390234041991
33985295,357.56802832559,-29.5436692854997
33985341,357.595456763489,-29.8296513911614
33985779,357.653973966749,-27.4277766411363
33985911,357.631674990958,-26.6363194293452
33986052,357.687239951489,-25.9730224273909
33986176,357.718331451777,-25.2384555727961
248574089,357.33999565294,-3.45899483367443
248575271,357.460010318133,-2.19232467515897
248575453,357.434090922647,-3.14349727962607
144460020,359.691549304826,-46.7945019002067
144460043,359.750389479096,-46.8799398214506
144460440,0.0297781768524226,-43.1059608260723
160085417,359.409571640007,-41.6376165266475
160085508,359.3960995219,-40.9932076911805
160112075,359.509826891975,-39.8175417176215
160112234,359.44239104548,-38.772103672891
160112353,359.437270457814,-38.0838858634885
160112555,359.53619805526,-36.7307835085246
160112712,359.625545369545,-36.1491110936714
160112796,359.69357260768,-36.6607400741912
407997143,359.733450544481,-3.64371488528003
408001623,359.895203787092,-3.6479876748651
301134958,349.480597690863,-4.32254468746218
288386294,320.720061851312,-15.5506719621591
8994809,355.103607065281,-9.07613762624151
8994875,355.031122437433,-9.33717798797778
8994876,355.040624350273,-9.33976813679016
301135125,349.408072497009,-5.01447226750728
4553397,347.959686510874,-7.81013703041293
8994689,355.112526799402,-8.40611749352369
270252752,356.977429956264,-5.40350189156477
288386122,320.744928092956,-15.9820949195949
288386378,320.750197247748,-15.3202805625848
301135126,349.408300171871,-5.01869813511284
8994620,355.063864886657,-8.14366239993898
9052402,355.989042554559,-6.53011240634809
250129851,356.27046274459,-3.76512589427712
250129924,356.253066298507,-3.3840729154254
270252848,356.973863893576,-4.93441408905635
248601148,357.970997958919,-5.10486766949627
248601234,357.947323034513,-5.61773364127847
248602168,358.00387409117,-1.75235043933951
248602172,358.068809134728,-1.72737582263756
160073552,346.148622092572,-38.28617692925
33910474,355.794816509803,-29.0755819092395
160070597,346.08407809836,-40.8857665253975
160073491,346.086394549519,-38.5861609964698
4553324,348.016110155495,-7.46942311156698
355493940,352.617804887535,-51.8418105951458
261590260,349.698194194574,-73.8741945580853
144387241,357.322990739876,-42.1026929505006
160073566,346.093347747114,-38.2065290370941
355493749,352.724968954759,-52.6107318351397
355493759,352.576371522685,-52.57020773961
469915828,350.464011912016,-53.2951679838368
469916021,350.725842658979,-53.8125544925132
9157120,351.66653642436,-22.7211440566167
9158162,351.761439794842,-17.9630307002301
144387504,357.380207512708,-42.9325305952806
160070626,346.119970216822,-40.785047273617
160070774,346.076618018714,-39.9254606730482
160070797,346.142271526187,-39.7441617689077
160073361,346.12171298104,-39.1919529357247
160073708,346.070791159041,-37.5643358304999
160073874,346.183061566912,-36.7201136681537
160073947,346.19785338452,-36.3254091108333
160074048,346.343322149321,-41.7548910813057
160074074,346.233343712281,-41.6359035462844
